db_id,ground_truth_sql,generated_sql,exact_match,execution_match
chinook,SELECT ArtistId FROM Album GROUP BY ArtistId HAVING COUNT(AlbumId) > 10;,SELECT a.Name FROM Artist AS a JOIN Album AS al ON a.ArtistId = al.ArtistId GROUP BY a.Name HAVING COUNT(*) > 10,False,False
chinook,"SELECT FirstName, LastName FROM Customer WHERE Country = 'Brazil';","SELECT FirstName, LastName FROM Customer WHERE Country = 'Brazil';",True,True
chinook,SELECT Name FROM Track WHERE Milliseconds > 300000;,SELECT Name FROM Track WHERE Milliseconds > 5 * 60 * 1000,False,True
chinook,"SELECT FirstName, LastName FROM Employee WHERE Title = 'Sales Manager';","SELECT e.LastName, e.FirstName FROM Employee e WHERE e.Title = 'Sales Manager';",False,True
chinook,SELECT Email FROM Customer WHERE City = 'Paris';,SELECT Email FROM Customer WHERE City = 'Paris',True,True
chinook,"SELECT CustomerId, SUM(Total) FROM Invoice GROUP BY CustomerId;","SELECT c.CustomerName, SUM(il.UnitPrice * il.Quantity) as TotalSpend FROM Customer c JOIN Invoice i ON c.CustomerId = i.CustomerId JOIN InvoiceLine il ON i.InvoiceId = il.InvoiceId GROUP BY c.CustomerId, c.CustomerName ORDER BY TotalSpend DESC;",False,False
chinook,SELECT Name FROM Track ORDER BY UnitPrice DESC LIMIT 5;,"SELECT TOP 5 [Name], [UnitPrice] FROM [Track] ORDER BY [UnitPrice] DESC",False,False
chinook,SELECT Name FROM Track WHERE GenreId = (SELECT GenreId FROM Genre WHERE Name = 'Rock');,SELECT [Name] FROM [Track] WHERE [GenreId] = (SELECT [GenreId] FROM [Genre] WHERE [Name] = 'Rock'),False,True
chinook,"SELECT BillingCountry, COUNT(*) FROM Invoice GROUP BY BillingCountry;","SELECT i.BillingCountry, COUNT(*) as InvoiceCount FROM Invoice i GROUP BY i.BillingCountry ORDER BY i.BillingCountry",False,True
chinook,SELECT Name FROM Artist WHERE ArtistId = (SELECT ArtistId FROM Album WHERE Title = 'Californication');,SELECT Name FROM Artist INNER JOIN Album ON Artist.ArtistId = Album.ArtistId WHERE Title = 'Californication',False,True
