sql_idx,predicted_sql,ground_truth_sql,tp,fp,fn,precision,recall,f1
0,SELECT COUNT(*) FROM ship WHERE disposition_of_ship = 'Captured',select count(*) from ship where disposition_of_ship  =  'captured',0,1,1,0.0,0.0,0
1,"SELECT name, tonnage FROM ship ORDER BY name DESC;","select name ,  tonnage from ship order by name desc",14,0,0,1.0,1.0,1.0
2,"SELECT name, date, result FROM battle","select name ,  date from battle",16,8,0,0.6666666666666666,1.0,0.8
3,"SELECT MIN(killed) as min_death_toll, MAX(killed) as max_death_toll FROM death;","select max(killed) ,  min(killed) from death",2,0,0,1.0,1.0,1.0
4,SELECT AVG(injured) as avg_injuries FROM death;,select avg(injured) from death,1,0,0,1.0,1.0,1.0
5,"SELECT id, note, killed, injured FROM death WHERE caused_by_ship_id IN ( SELECT id FROM ship WHERE tonnage = 't' );","select t1.killed ,  t1.injured from death as t1 join ship as t2 on t1.caused_by_ship_id  =  t2.id where t2.tonnage  =  't'",22,22,0,0.5,1.0,0.6666666666666666
6,"SELECT name, result FROM battle WHERE bulgarian_commander <> 'Boril';","select name ,  result from battle where bulgarian_commander != 'boril'",10,2,4,0.8333333333333334,0.7142857142857143,0.7692307692307692
7,"SELECT b.id, b.name FROM battle b JOIN ship s ON b.id = s.lost_in_battle WHERE s.ship_type = 'Brig'","select distinct t1.id ,  t1.name from battle as t1 join ship as t2 on t1.id  =  t2.lost_in_battle where t2.ship_type  =  'brig'",0,5,0,0.0,0,0
8,"SELECT id, name FROM battle WHERE ( (SELECT SUM(killed + injured) FROM death WHERE battle.id = death.battle_id) > 10 )","select t1.id ,  t1.name from battle as t1 join ship as t2 on t1.id  =  t2.lost_in_battle join death as t3 on t2.id  =  t3.caused_by_ship_id group by t1.id having sum(t3.killed)  >  10",0,0,0,0,0,0
9,"SELECT ship.id, ship.name, SUM(death.injured) as total_injuries FROM ship JOIN death ON ship.id = death.caused_by_ship_id GROUP BY ship.id, ship.name ORDER BY total_injuries DESC LIMIT 1;","select t2.id ,  t2.name from death as t1 join ship as t2 on t1.caused_by_ship_id  =  t2.id group by t2.id order by count(*) desc limit 1",0,3,2,0.0,0.0,0
