db_id,ground_truth_sql,generated_sql,exact_match,execution_match
chinook,SELECT ArtistId FROM Album GROUP BY ArtistId HAVING COUNT(AlbumId) > 10;,SELECT Artist.Name FROM Artist JOIN Album ON Artist.ArtistId = Album.ArtistId GROUP BY Artist.Name HAVING COUNT(Album.AlbumId) > 10;,False,False
chinook,"SELECT FirstName, LastName FROM Customer WHERE Country = 'Brazil';","SELECT FirstName, LastName FROM Customer WHERE Country = 'Brazil';",True,True
chinook,SELECT Name FROM Track WHERE Milliseconds > 300000;,SELECT Name FROM Track WHERE Milliseconds > 300000;,True,True
chinook,"SELECT FirstName, LastName FROM Employee WHERE Title = 'Sales Manager';","Database Schema ['CREATE TABLE [Album]\r\n(\r\n    [AlbumId] INTEGER  NOT NULL,\r\n    [Title] NVARCHAR(160)  NOT NULL,\r\n    [ArtistId] INTEGER  NOT NULL,\r\n    CONSTRAINT [PK_Album] PRIMARY KEY  ([AlbumId]),\r\n    FOREIGN KEY ([ArtistId]) REFERENCES [Artist] ([ArtistId]) \r\n\t\tON DELETE NO ACTION ON UPDATE NO ACTION\r\n)', 'CREATE TABLE [Artist]\r\n(\r\n    [ArtistId] INTEGER  NOT NULL,\r\n    [Name] NVARCHAR(120),\r\n    CONSTRAINT [PK_Artist] PRIMARY KEY  ([ArtistId])\r\n)', 'CREATE TABLE [Customer]\r\n(\r\n    [CustomerId] INTEGER  NOT NULL,\r\n    [FirstName] NVARCHAR(40)  NOT NULL,\r\n    [LastName] NVARCHAR(20)  NOT NULL,\r\n    [Company] NVARCHAR(80),\r\n    [Address] NVARCHAR(70),\r\n    [City] NVARCHAR(40),\r\n    [State] NVARCHAR(40),\r\n    [Country] NVARCHAR(40),\r\n    [PostalCode] NVARCHAR(10),\r\n    [Phone] NVARCHAR(24),\r\n    [Fax] NVARCHAR(24),\r\n    [Email] NVARCHAR(60)  NOT NULL,\r\n    [SupportRepId] INTEGER,\r\n    CONSTRAINT [PK_Customer] PRIMARY KEY  ([CustomerId]),\r\n    FOREIGN KEY ([SupportRepId]) REFERENCES [Employee] ([EmployeeId]) \r\n\t\tON DELETE NO ACTION ON UPDATE NO ACTION\r\n)', 'CREATE TABLE [Employee]\r\n(\r\n    [EmployeeId] INTEGER  NOT NULL,\r\n    [LastName] NVARCHAR(20)  NOT NULL,\r\n    [FirstName] NVARCHAR(20)  NOT NULL,\r\n    [Title] NVARCHAR(30),\r\n    [ReportsTo] INTEGER,\r\n    [BirthDate] DATETIME,\r\n    [HireDate] DATETIME,\r\n    [Address] NVARCHAR(70),\r\n    [City] NVARCHAR(40),\r\n    [State] NVARCHAR(40),\r\n    [Country] NVARCHAR(40),\r\n    [PostalCode] NVARCHAR(10),\r\n    [Phone] NVARCHAR(24),\r\n    [Fax] NVARCHAR(24),\r\n    [Email] NVARCHAR(60),\r\n    CONSTRAINT [PK_Employee] PRIMARY KEY  ([EmployeeId]),\r\n    FOREIGN KEY ([ReportsTo]) REFERENCES [Employee] ([EmployeeId]) \r\n\t\tON DELETE NO ACTION ON UPDATE NO ACTION\r\n)', 'CREATE TABLE [Genre]\r\n(\r\n    [GenreId] INTEGER  NOT NULL,\r\n    [Name] NVARCHAR(120),\r\n    CONSTRAINT [PK_Genre] PRIMARY KEY  ([GenreId])\r\n)', 'CREATE TABLE [Invoice]\r\n(\r\n    [InvoiceId] INTEGER  NOT NULL,\r\n    [CustomerId] INTEGER  NOT NULL,\r\n    [InvoiceDate] DATETIME  NOT NULL,\r\n    [BillingAddress] NVARCHAR(70),\r\n    [BillingCity] NVARCHAR(40),\r\n    [BillingState] NVARCHAR(40),\r\n    [BillingCountry] NVARCHAR(40),\r\n    [BillingPostalCode] NVARCHAR(10),\r\n    [Total] NUMERIC(10,2)  NOT NULL,\r\n    CONSTRAINT [PK_Invoice] PRIMARY KEY  ([InvoiceId]),\r\n    FOREIGN KEY ([CustomerId]) REFERENCES [Customer] ([CustomerId]) \r\n\t\tON DELETE NO ACTION ON UPDATE NO ACTION\r\n)', 'CREATE TABLE [InvoiceLine]\r\n(\r\n    [InvoiceLineId] INTEGER  NOT NULL,\r\n    [InvoiceId] INTEGER  NOT NULL,\r\n    [TrackId] INTEGER  NOT NULL,\r\n    [UnitPrice] NUMERIC(10,2)  NOT NULL,\r\n    [Quantity] INTEGER  NOT NULL,\r\n    CONSTRAINT [PK_InvoiceLine] PRIMARY KEY  ([InvoiceLineId]),\r\n    FOREIGN KEY ([InvoiceId]) REFERENCES [Invoice] ([InvoiceId]) \r\n\t\tON DELETE NO ACTION ON UPDATE NO ACTION,\r\n    FOREIGN KEY ([TrackId]) REFERENCES [Track] ([TrackId]) \r\n\t\tON DELETE NO ACTION ON UPDATE NO ACTION\r\n)', 'CREATE TABLE [MediaType]\r\n(\r\n    [MediaTypeId] INTEGER  NOT NULL,\r\n    [Name] NVARCHAR(120),\r\n    CONSTRAINT [PK_MediaType] PRIMARY KEY  ([MediaTypeId])\r\n)', 'CREATE TABLE [Playlist]\r\n(\r\n    [PlaylistId] INTEGER  NOT NULL,\r\n    [Name] NVARCHAR(120),\r\n    CONSTRAINT [PK_Playlist] PRIMARY KEY  ([PlaylistId])\r\n)', 'CREATE TABLE [PlaylistTrack]\r\n(\r\n    [PlaylistId] INTEGER  NOT NULL,\r\n    [TrackId] INTEGER  NOT NULL,\r\n    CONSTRAINT [PK_PlaylistTrack] PRIMARY KEY  ([PlaylistId], [TrackId]),\r\n    FOREIGN KEY ([PlaylistId]) REFERENCES [Playlist] ([PlaylistId]) \r\n\t\tON DELETE NO ACTION ON UPDATE NO ACTION,\r\n    FOREIGN KEY ([TrackId]) REFERENCES [Track] ([TrackId]) \r\n\t\tON DELETE NO ACTION ON UPDATE NO ACTION\r\n)', 'CREATE TABLE [Track]\r\n(\r\n    [TrackId] INTEGER  NOT NULL,\r\n    [Name] NVARCHAR(200)  NOT NULL,\r\n    [AlbumId] INTEGER,\r\n    [MediaTypeId] INTEGER  NOT NULL,\r\n    [GenreId] INTEGER,\r\n    [Composer] NVARCHAR(220),\r\n    [Milliseconds] INTEGER  NOT NULL,\r\n    [Bytes] INTEGER,\r\n    [UnitPrice] NUMERIC(10,2)  NOT NULL,\r\n    CONSTRAINT [PK_Track] PRIMARY KEY  ([TrackId]),\r\n    FOREIGN KEY ([AlbumId]) REFERENCES [Album] ([AlbumId]) \r\n\t\tON DELETE NO ACTION ON UPDATE NO ACTION,\r\n    FOREIGN KEY ([GenreId]) REFERENCES [Genre] ([GenreId]) \r\n\t\tON DELETE NO ACTION ON UPDATE NO ACTION,\r\n    FOREIGN KEY ([MediaTypeId]) REFERENCES [MediaType] ([MediaTypeId]) \r\n\t\tON DELETE NO ACTION ON UPDATE NO ACTION\r\n)'], ###Context [{'question': 'Which employees are sales agents?', 'query': ""SELECT FirstName, LastName FROM Employee WHERE Title = 'Sales Support Agent';""}, {'question': 'List employees who are managers.', 'query': ""SELECT FirstName, LastName FROM Employee WHERE Title LIKE '%Manager%';""}, {'question': 'List employees along with their managers’ names.', 'query': 'SELECT e.FirstName, e.LastName, m.FirstName as ManagerFirst, m.LastName as ManagerLast FROM Employee e LEFT JOIN Employee m ON e.ReportsTo = m.EmployeeId;'}] Based on the provided database schema information, Which employees are sales managers?
 ### SQL:
 SELECT FirstName, LastName FROM Employee WHERE Title LIKE '%Sales Manager%';

 This query will return the names of employees who have the title containing the word 'Sales Manager'. This assumes that the title field is a string data type and the '%' symbol is used for wildcard matching.

 The query will return the following result:

 | FirstName | LastName |
 |-----------|----------|
 | John      | Doe      |
 | Jane      | Smith    |
 | ...       | ...      |

 This query will return the names of employees who have the title 'Sales Manager' or any other title that contains the word 'Sales Manager'. For example, an employee with the title 'Senior Sales Manager' would also be included in the result.",False,False
chinook,SELECT Email FROM Customer WHERE City = 'Paris';,SELECT Email FROM Customer WHERE City = 'Paris';,True,True
chinook,"SELECT CustomerId, SUM(Total) FROM Invoice GROUP BY CustomerId;","SELECT Customer.FirstName, Customer.LastName, SUM(Invoice.Total) as TotalSpent FROM Customer JOIN Invoice ON Customer.CustomerId = Invoice.CustomerId GROUP BY Customer.CustomerId ORDER BY TotalSpent DESC;",False,False
chinook,SELECT Name FROM Track ORDER BY UnitPrice DESC LIMIT 5;,"SELECT TOP 5 Name, UnitPrice FROM Track ORDER BY UnitPrice DESC;",False,False
chinook,SELECT Name FROM Track WHERE GenreId = (SELECT GenreId FROM Genre WHERE Name = 'Rock');,SELECT Track.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId WHERE Genre.Name = 'Rock';,False,True
chinook,"SELECT BillingCountry, COUNT(*) FROM Invoice GROUP BY BillingCountry;","SELECT BillingCountry, COUNT(*) as InvoiceCount FROM Invoice GROUP BY BillingCountry;",False,True
chinook,SELECT Name FROM Artist WHERE ArtistId = (SELECT ArtistId FROM Album WHERE Title = 'Californication');,SELECT Artist.Name FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE Title = 'Californication';,False,True
